Post_ID,Platform,Hashtag,Content_Type,Region,Views,Likes,Shares,Comments,Engagement_Level,Total_Engagement,Engagement_Rate
Post_83,instagram,gaming,live stream,japan,4637078,219517,5831,32657,low,258005,5.563956439809726
Post_84,instagram,comedy,shorts,brazil,3315125,62336,79392,42892,high,184620,5.5690207759888395
Post_85,twitter,fitness,shorts,brazil,4357287,106179,4262,12978,medium,123419,2.832473509318987
Post_86,tiktok,fitness,shorts,canada,907386,52457,77192,32870,high,162519,17.910679688688166
Post_87,twitter,gaming,post,india,1908555,194688,34182,3500,high,232370,12.175179651621253
Post_88,twitter,challenge,post,japan,3074269,18233,37713,28599,medium,84545,2.750084654270658
Post_89,youtube,dance,post,brazil,4067125,190686,12963,11560,high,215209,5.291428220180102
Post_90,youtube,fitness,reel,japan,1173157,137342,95328,47250,low,279920,23.860404020945193
Post_91,tiktok,fitness,reel,germany,2141884,23466,66627,40003,high,130096,6.0739050294040196
Post_92,twitter,comedy,post,india,4567233,66980,96596,49121,low,212697,4.6570210015560844
Post_93,twitter,gaming,post,uk,506074,69145,31191,43362,low,143698,28.39466165027249
Post_94,youtube,comedy,tweet,uk,3210080,195970,75414,4473,high,275857,8.593461845187658
Post_95,tiktok,tech,video,germany,128472,444670,64311,7956,medium,516937,402.3732797808083
Post_96,tiktok,music,reel,india,1347102,274212,15298,28342,high,317852,23.595243715769108
Post_97,tiktok,tech,live stream,uk,92085,176687,5641,22316,medium,204644,222.23380572297336
Post_98,tiktok,tech,post,australia,3843536,90333,10903,30677,medium,131913,3.432074006852024
Post_99,instagram,viral,reel,germany,965073,263310,39207,27324,high,329841,34.17782903469478
Post_100,youtube,education,post,canada,3096420,364521,73308,29082,low,466911,15.07905904237797
Post_101,youtube,gaming,tweet,germany,2723916,1349,81918,11870,high,95137,3.4926554269661763
Post_102,tiktok,music,live stream,uk,2249678,46464,83075,5710,medium,135249,6.011927040225312
Post_103,twitter,viral,shorts,germany,3311289,352538,55203,5369,medium,413110,12.475806249469617
Post_104,instagram,music,tweet,india,3588997,241125,65026,30917,medium,337068,9.391704701898608
Post_105,instagram,fitness,post,japan,13562,11483,33641,30457,medium,75581,557.2998082878631
Post_106,twitter,fitness,live stream,usa,3926751,302919,49216,30399,low,382534,9.741743237602792
Post_107,youtube,music,tweet,uk,2750317,59766,75524,27938,high,163228,5.934879506616873
Post_108,tiktok,challenge,reel,germany,4655757,383024,45530,48504,medium,477058,10.24662584408937
Post_109,instagram,fitness,video,usa,4844012,452777,44862,23870,high,521509,10.766055079962642
Post_110,twitter,dance,video,usa,3868789,188191,4660,26605,medium,219456,5.672472703990835
Post_111,twitter,viral,tweet,australia,2517364,418305,51641,34605,high,504551,20.04283051636553
Post_112,instagram,dance,video,brazil,1994041,310266,87995,40217,medium,438478,21.989417469349927
Post_113,tiktok,education,shorts,australia,1402998,241244,56779,14849,high,312872,22.300245616886123
Post_114,youtube,fashion,live stream,brazil,702950,17361,62405,10538,low,90304,12.846432889963724
Post_115,instagram,education,tweet,canada,1599554,364748,16705,8949,high,390402,24.406928431300226
Post_116,tiktok,tech,post,australia,4600976,443617,98343,18038,high,559998,12.171287135599055
Post_117,twitter,viral,shorts,usa,2495410,213884,16804,17614,low,248302,9.950348840471104
Post_118,tiktok,dance,video,germany,1838563,289125,77191,27066,high,393382,21.396166462612378
Post_119,youtube,tech,shorts,india,2920650,416403,56902,2675,low,475980,16.297057161933132
Post_120,tiktok,viral,video,germany,1772623,361245,30503,13260,low,405008,22.847949056285515
Post_121,instagram,comedy,shorts,australia,2484315,101605,80028,36281,high,217914,8.771592974320889
Post_122,youtube,comedy,live stream,india,4927173,22341,38730,42476,medium,103547,2.101549915133891
Post_123,tiktok,challenge,video,uk,3924183,283030,30676,43977,low,357683,9.114839955221253
Post_124,instagram,music,post,usa,4646060,21362,31562,19778,medium,72702,1.5648097527797746
Post_125,youtube,fitness,video,usa,3901900,20166,30661,25363,low,76190,1.9526384581870373
Post_126,instagram,fashion,video,japan,962137,319381,69098,38387,low,426866,44.36644677421199
Post_127,tiktok,education,video,germany,3859007,277223,81798,46985,medium,406006,10.52099672273204
Post_128,twitter,challenge,shorts,uk,3837223,140163,85932,40674,medium,266769,6.952137001159432
Post_129,instagram,comedy,post,uk,1029488,449148,87211,35005,high,571364,55.49982127037906
Post_130,twitter,fashion,post,germany,879364,232290,7501,23547,low,263338,29.946415818705336
Post_131,tiktok,comedy,live stream,usa,4828597,131837,43770,9395,low,185002,3.8313820764085302
Post_132,youtube,education,video,india,3487375,107303,83451,45313,high,236067,6.769188859815764
Post_133,tiktok,dance,tweet,india,3418884,311286,82479,7832,high,401597,11.74643538651794
Post_134,youtube,challenge,reel,brazil,1337059,318166,72711,32791,high,423668,31.686559830194476
Post_135,tiktok,education,live stream,canada,707841,133933,46058,45912,high,225903,31.91437060017716
Post_136,tiktok,fitness,shorts,australia,1851460,345987,13274,43872,low,403133,21.77378933382304
Post_137,instagram,fashion,tweet,canada,1438248,223413,84930,42774,low,351117,24.412827273182373
Post_138,instagram,fashion,live stream,brazil,4027409,80497,44156,14597,medium,139250,3.457557948547069
Post_139,instagram,music,video,india,3488909,443844,19877,22056,low,485777,13.923464326527291
Post_140,tiktok,fitness,video,usa,1089083,150418,45387,25632,medium,221437,20.332426454182094
Post_141,tiktok,fashion,live stream,germany,682046,480038,71997,18117,high,570152,83.59436167062046
Post_142,youtube,tech,live stream,brazil,4849297,86843,16843,14705,low,118391,2.4414054243326406
Post_143,instagram,challenge,tweet,usa,4283565,107901,84854,4738,low,197493,4.610482156801636
Post_144,twitter,comedy,shorts,india,50082,70708,277,25036,low,96021,191.72756679046364
Post_145,twitter,viral,post,usa,3940355,82304,68754,15897,low,166955,4.237054783135022
Post_146,instagram,education,reel,canada,964498,194879,76029,34998,high,305906,31.716602833805773
Post_147,tiktok,tech,shorts,uk,636824,363548,17456,8176,low,389180,61.11264650829743
Post_148,tiktok,comedy,reel,india,4179125,94325,72341,7328,low,173994,4.163407411838603
Post_149,instagram,gaming,video,brazil,1292958,95304,3716,44880,low,143900,11.129518514909224
Post_150,instagram,viral,reel,uk,4103477,75909,5645,4052,low,85606,2.0861820353812144
Post_151,twitter,education,reel,germany,3529777,68367,38326,879,high,107572,3.0475579618769117
Post_152,instagram,fashion,reel,usa,4593170,34210,33344,11022,low,78576,1.7107139513669207
Post_153,tiktok,challenge,shorts,brazil,3251679,498580,96093,9968,medium,604641,18.594732136843767
Post_154,instagram,tech,shorts,canada,41081,319140,6541,23057,low,348738,848.9033859935249
Post_155,twitter,dance,shorts,canada,2127698,193956,14856,32442,medium,241254,11.338733222478002
Post_156,youtube,education,shorts,australia,4765117,177035,49884,46238,medium,273157,5.732430074644547
Post_157,twitter,fitness,reel,india,2114283,462542,14404,37153,low,514099,24.31552445911924
Post_158,youtube,fashion,reel,canada,4391275,392281,14429,27404,high,434114,9.885830425104327
Post_159,tiktok,gaming,post,india,1246500,471547,15048,40514,high,527109,42.28712394705175
Post_160,twitter,music,tweet,germany,4555977,1087,23157,12611,medium,36855,0.8089373585511955
Post_161,twitter,gaming,tweet,india,400424,56569,59897,49341,medium,165807,41.40785767086888
Post_162,instagram,challenge,video,brazil,3201846,335416,50986,16715,high,403117,12.590143311077423
Post_163,tiktok,gaming,video,germany,102418,107650,94514,26548,medium,228712,223.31230838329202
Post_164,twitter,comedy,tweet,australia,4253909,448284,39383,32995,low,520662,12.239613024162011
Post_165,tiktok,fitness,live stream,australia,1551922,47511,7404,25497,low,80412,5.181445974733266
Post_166,youtube,challenge,post,germany,3587143,430347,96428,42640,medium,569415,15.873774756122073
Post_167,instagram,fashion,video,usa,2252593,61466,13181,29007,high,103654,4.6015414235949414
Post_168,youtube,challenge,video,australia,2547290,382792,78654,30532,medium,491978,19.313780527541034
Post_169,youtube,viral,reel,usa,2946297,223304,83502,10855,low,317661,10.781703270240577
Post_170,twitter,education,video,india,4459268,356292,52389,33857,low,442538,9.924005464574007
Post_171,instagram,music,live stream,australia,1630617,435112,71742,49750,high,556604,34.13456378781774
Post_172,instagram,education,live stream,usa,4709770,389553,55435,16799,medium,461787,9.804873698715648
Post_173,instagram,fitness,tweet,australia,2275387,271817,72208,27046,high,371071,16.30803902808621
Post_174,tiktok,tech,tweet,brazil,2784320,373955,22997,15361,high,412313,14.808391276864727
Post_175,twitter,music,tweet,usa,3674194,19972,97555,24310,medium,141837,3.8603568564969626
Post_176,youtube,music,post,uk,2126429,36274,51278,44234,medium,131786,6.197526463380625
Post_177,youtube,fitness,shorts,usa,1598712,280260,58128,4485,high,342873,21.44682719589269
Post_178,twitter,fashion,video,australia,3464211,115302,63150,37858,medium,216310,6.244134667316743
Post_179,twitter,fitness,reel,uk,1519290,495937,13211,49107,low,558255,36.7444661651166
Post_180,instagram,fitness,tweet,canada,4888613,414422,11933,23903,high,450258,9.210342483645157
Post_181,twitter,viral,shorts,usa,3712060,302466,63802,49953,low,416221,11.212668976255772
Post_182,instagram,tech,reel,uk,4003071,22251,13517,13392,low,49160,1.2280571591160887
Post_183,instagram,dance,video,germany,681752,197632,98860,19379,high,315871,46.3322439831493
Post_184,instagram,gaming,shorts,germany,4684548,122401,82864,42106,low,247371,5.2805734939635585
Post_185,instagram,tech,video,uk,3916842,292224,72417,38211,high,402852,10.285122555364755
Post_186,tiktok,dance,reel,uk,798887,326922,87308,21689,medium,435919,54.56578965485732
Post_187,twitter,gaming,video,australia,688077,243607,79071,12078,high,334756,48.650950402353224
Post_188,twitter,challenge,reel,japan,1520250,214233,80,10917,medium,225230,14.815326426574577
Post_189,tiktok,fashion,post,australia,496652,106618,64875,44200,high,215693,43.42940328439229
Post_190,tiktok,education,reel,india,479620,337321,99486,26524,medium,463331,96.60376965097369
Post_191,youtube,education,reel,usa,4221739,291223,61415,44293,low,396931,9.402073410980641
Post_192,twitter,education,live stream,brazil,4425196,324343,33641,22289,high,380273,8.593359480574419
Post_193,instagram,comedy,shorts,uk,4236960,259668,86293,16169,low,362130,8.546929874249463
Post_194,tiktok,education,reel,india,2488223,177673,86535,39991,low,304199,12.225552130978615
Post_195,youtube,dance,live stream,uk,2809035,359231,78623,27822,medium,465676,16.57779272953167
Post_196,youtube,music,shorts,brazil,444252,398838,7767,19133,high,425738,95.83254549219812
Post_197,instagram,fashion,reel,india,907575,42770,5219,47956,low,95945,10.571578106492577
Post_198,tiktok,dance,post,canada,2440215,199343,53628,10359,medium,263330,10.79126224533494
Post_199,tiktok,comedy,shorts,usa,3982001,131915,64092,22170,medium,218177,5.4790794879257945
Post_200,twitter,fashion,reel,brazil,3802724,457464,83495,19409,high,560368,14.73596295708024
Post_201,youtube,dance,shorts,australia,3049554,441149,46483,36909,low,524541,17.200580806242485
Post_202,youtube,fashion,video,germany,3186810,312491,66586,7390,medium,386467,12.12708005811454
Post_203,youtube,gaming,live stream,australia,810296,77866,87591,41350,high,206807,25.522401690246525
Post_204,twitter,dance,post,uk,4459224,957,54290,47674,high,102921,2.3080473194439213
Post_205,instagram,viral,post,usa,741152,226355,58251,46227,high,330833,44.63767216441432
Post_206,twitter,fashion,tweet,usa,2945128,368541,66690,3800,medium,439031,14.907026112277633
Post_207,twitter,music,post,canada,2302342,153529,52488,41257,high,247274,10.740107247315994
Post_208,youtube,fashion,shorts,australia,469793,295293,29190,9480,medium,333963,71.08726609379025
Post_209,twitter,comedy,live stream,uk,2452099,320043,91765,2987,low,414795,16.915915711396647
Post_210,tiktok,tech,live stream,uk,2651939,209375,2127,12291,low,223793,8.438844181559228
Post_211,tiktok,fitness,shorts,india,1580449,299597,35471,1908,high,336976,21.3215358420297
Post_212,instagram,dance,tweet,india,4764800,52536,65976,47528,medium,166040,3.4847212894560107
Post_213,twitter,comedy,tweet,japan,4336145,295452,2342,22411,medium,320205,7.384554713922159
Post_214,instagram,viral,shorts,japan,4316287,188239,34891,39029,medium,262159,6.073715672752993
Post_215,twitter,gaming,tweet,japan,1516746,272088,48475,36816,medium,357379,23.56221806419796
Post_216,tiktok,fitness,post,usa,4497673,460735,96637,47633,medium,605005,13.451511481603932
Post_217,youtube,dance,live stream,uk,1200639,381211,2574,40242,medium,424027,35.31677714950122
Post_218,youtube,viral,tweet,usa,3115115,81186,14964,1885,low,98035,3.147074827093061
Post_219,twitter,dance,tweet,india,89968,450376,40577,19844,medium,510797,567.7540903432331
Post_220,tiktok,dance,tweet,japan,2177828,478703,86167,17109,medium,581979,26.72290924719491
Post_221,twitter,viral,shorts,india,306511,404600,32664,35337,medium,472601,154.18728854755622
Post_222,instagram,music,reel,uk,4422912,199110,95413,32057,low,326580,7.38382314637958
Post_223,instagram,tech,post,uk,4326885,300734,1870,1496,medium,304100,7.0281507366153715
Post_224,youtube,music,live stream,germany,4732360,84552,21664,36363,medium,142579,3.012851938567649
Post_225,youtube,gaming,video,japan,2510808,348707,17968,46925,high,413600,16.472784856508344
Post_226,instagram,education,video,usa,2710672,252420,23167,5670,low,281257,10.375914164458113
Post_227,tiktok,fitness,shorts,australia,4096796,365062,58371,48138,medium,471571,11.510726919280335
Post_228,youtube,gaming,live stream,uk,940184,131729,1559,12135,low,145423,15.467504233213925
Post_229,twitter,viral,shorts,usa,2184148,326178,46185,1902,high,374265,17.135514626298217
Post_230,instagram,challenge,shorts,australia,1498512,205870,16834,34865,medium,257569,17.18831747760445
Post_231,instagram,dance,video,germany,4300552,428951,18627,12148,low,459726,10.689930036888288
Post_232,youtube,challenge,reel,japan,3267055,133930,81976,22080,low,237986,7.284419760304004
Post_233,tiktok,fitness,post,canada,2095875,78244,43598,16006,low,137848,6.57710979900996
Post_234,youtube,education,shorts,usa,1465227,158579,8809,33511,high,200899,13.711117799494549
Post_235,youtube,viral,reel,japan,1715566,326676,69635,19235,low,415546,24.22209346652941
Post_236,instagram,fitness,reel,brazil,4708687,133736,49028,3765,medium,186529,3.9613803168484125
Post_237,youtube,challenge,tweet,uk,1091635,198291,5604,31314,medium,235209,21.546487608037484
Post_238,tiktok,dance,reel,uk,1111002,266261,22269,39363,low,327893,29.513268202937525
Post_239,youtube,comedy,post,japan,869375,123390,59716,46989,low,230095,26.466714593817397
Post_240,twitter,gaming,video,japan,2551247,384714,36284,18974,high,439972,17.245370597202076
Post_241,youtube,viral,shorts,india,920528,400658,58158,26810,high,485626,52.75515790937375
Post_242,youtube,viral,shorts,japan,2846948,55585,27235,29699,medium,112519,3.95226748082508
Post_243,instagram,fashion,shorts,uk,2801638,111973,60593,35663,medium,208229,7.432402044803791
Post_244,tiktok,dance,video,canada,1556267,56055,12612,20474,low,89141,5.727873173433608
Post_245,tiktok,viral,post,brazil,1828433,126683,82181,48618,low,257482,14.082112934955779
Post_246,youtube,dance,post,uk,3988715,211316,4804,33837,medium,249957,6.26660465839249
Post_247,tiktok,fashion,video,canada,3290858,250085,41283,20251,high,311619,9.469232643888008
Post_248,youtube,viral,tweet,usa,3703315,449350,54600,26510,medium,530460,14.323923295749887
Post_249,tiktok,education,post,canada,506215,303740,98918,36904,medium,439562,86.83306500202484
Post_250,youtube,fitness,post,canada,762333,406861,79834,13785,medium,500480,65.65109997861826
Post_251,twitter,dance,post,brazil,3252738,420498,5811,2661,high,428970,13.187966568472467
Post_252,instagram,fashion,tweet,germany,4080585,203708,22677,23693,medium,250078,6.128484028638051
Post_253,tiktok,comedy,tweet,germany,1450112,409512,91982,9118,medium,510612,35.21190087386354
Post_254,twitter,gaming,post,uk,2512592,418988,4122,18706,low,441816,17.584072543413335
Post_255,tiktok,fitness,video,japan,3714148,291659,27722,28024,high,347405,9.353558339624591
Post_256,twitter,challenge,tweet,usa,2276898,337038,56049,13735,medium,406822,17.867379215054868
Post_257,youtube,challenge,shorts,australia,342675,493624,4168,35727,low,533519,155.6924199314219
Post_258,instagram,fitness,post,australia,2787914,198350,96753,45466,medium,340569,12.215907664296676
Post_259,instagram,comedy,tweet,usa,893271,69359,66059,43386,medium,178804,20.01676982684986
Post_260,youtube,dance,post,japan,2061951,381908,33698,25476,high,441082,21.39148796455396
Post_261,twitter,music,reel,canada,3823345,32222,64447,44453,high,141122,3.69106109963919
Post_262,twitter,fitness,live stream,usa,4330038,118835,19134,27781,high,165750,3.827910979072239
Post_263,youtube,fitness,video,canada,2714016,86422,85827,36320,high,208569,7.684884687488946
Post_264,instagram,music,tweet,canada,4588770,448601,52948,32818,medium,534367,11.645103154004232
Post_265,instagram,tech,video,canada,485489,265199,14446,34447,low,314092,64.69600753055167
Post_266,youtube,education,post,uk,2688752,472554,2742,14495,low,489791,18.216295143620535
Post_267,youtube,comedy,post,brazil,2417512,154294,98184,18043,medium,270521,11.19005820860455
Post_268,tiktok,comedy,tweet,japan,1612356,488560,75088,11999,low,575647,35.702227051594065
Post_269,instagram,dance,shorts,japan,242459,366128,20712,22677,medium,409517,168.90154624080773
Post_270,twitter,dance,live stream,uk,4041579,326486,69020,47705,high,443211,10.966283227421759
Post_271,twitter,dance,post,canada,2214561,156292,18753,3643,medium,178688,8.068777513918109
Post_272,youtube,dance,post,uk,2524440,262085,98352,37571,high,398008,15.76618972920727
Post_273,instagram,viral,reel,canada,4675636,328475,4510,45120,low,378105,8.086707348476228
Post_274,youtube,tech,live stream,uk,1093553,43035,52724,29091,low,124850,11.41691349207583
Post_275,twitter,music,tweet,australia,2860355,157614,70326,47778,medium,275718,9.63929302481685
Post_276,twitter,fitness,video,usa,4643597,200851,87149,35230,low,323230,6.960767697972067
Post_277,twitter,challenge,reel,brazil,4889936,142520,56142,26214,high,224876,4.598751394701281
Post_278,tiktok,education,reel,japan,1483481,353517,41615,11414,low,406546,27.404867335678716
Post_279,instagram,dance,tweet,germany,734933,421895,50675,12150,medium,484720,65.95431148145478
Post_280,youtube,fashion,reel,japan,4485712,464196,67958,45876,high,578030,12.886025674407986
Post_281,twitter,comedy,shorts,uk,1165962,105888,48384,47511,high,201783,17.30613862201341
Post_282,twitter,gaming,tweet,india,791211,251591,9900,36509,high,298000,37.66378374415927
Post_283,youtube,dance,post,uk,755921,275570,36739,37643,high,349952,46.29478477248284
Post_284,instagram,fitness,tweet,india,1966067,136472,63614,18304,medium,218390,11.107963258627503
Post_285,twitter,fashion,tweet,germany,3275624,455318,72364,39134,medium,566816,17.304061760446253
Post_286,twitter,comedy,live stream,india,4914869,200375,2393,37178,medium,239946,4.88204263430012
Post_287,twitter,music,tweet,japan,694970,180020,88660,5645,high,274325,39.47292688893046
Post_288,youtube,comedy,tweet,australia,2507996,317525,50404,25462,high,393391,15.685471587673982
Post_289,twitter,dance,reel,usa,2122512,277831,95870,1487,high,375188,17.676602063969487
Post_290,twitter,dance,reel,usa,4445772,159466,75212,24528,low,259206,5.830393461473058
Post_291,instagram,education,video,uk,495496,300566,97031,48197,low,445794,89.96924294040718
Post_292,tiktok,challenge,post,germany,1035819,94853,68842,31836,low,195531,18.87694664801476
Post_293,twitter,comedy,tweet,usa,424447,50456,76836,13951,high,141243,33.27694623828181
Post_294,tiktok,gaming,shorts,germany,3949831,495150,7915,2858,high,505923,12.808725234066976
Post_295,instagram,tech,reel,canada,70424,392371,44740,10705,low,447816,635.8854935817335
Post_296,tiktok,fitness,live stream,india,4820393,44861,86973,46410,medium,178244,3.697706805233515
Post_297,tiktok,fashion,reel,canada,864256,437954,60063,46333,high,544350,62.98481005627961
Post_298,instagram,comedy,reel,germany,1853392,232747,87334,27858,medium,347939,18.773092794184933
Post_299,twitter,challenge,live stream,germany,4700334,65555,32126,13215,high,110896,2.3593216992664776
Post_300,tiktok,education,video,brazil,4412697,108323,25130,6295,high,139748,3.166952093017037
Post_301,instagram,education,live stream,brazil,340950,127995,30856,14353,high,173204,50.80041061739258
Post_302,tiktok,tech,tweet,japan,3763770,75074,87283,26590,medium,188947,5.020152666076832
Post_303,twitter,dance,tweet,japan,394485,373829,36151,12167,low,422147,107.01218043778597
Post_304,twitter,viral,live stream,australia,4250412,138828,47483,35614,high,221925,5.221258550935768
Post_305,twitter,tech,reel,uk,1722013,357734,70729,37238,high,465701,27.043988634232146
Post_306,twitter,comedy,video,brazil,1359747,471796,85070,14073,high,570939,41.98861994179799
Post_307,youtube,comedy,tweet,germany,3205182,109645,57308,13223,medium,180176,5.621396850475262
Post_308,instagram,education,video,india,1333000,426321,26174,27048,medium,479543,35.97471867966991
Post_309,instagram,challenge,post,uk,543708,19494,13359,8753,low,41606,7.652269232749933
